127.0.0.1, 2013-10-06 21:17:17, GET, /admin/default/design/swaraa, HTTP/1.1, 200, 0.101350
127.0.0.1, 2013-10-06 21:17:17, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000467
127.0.0.1, 2013-10-06 21:17:17, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000304
127.0.0.1, 2013-10-06 21:17:17, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000293
127.0.0.1, 2013-10-06 21:17:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000240
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/appadmin/index, HTTP/1.1, 200, 0.170243
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/js/jquery.js, HTTP/1.1, 304, 0.000974
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/js/calendar.js, HTTP/1.1, 304, 0.000488
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/css/calendar.css, HTTP/1.1, 304, 0.003880
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/js/web2py.js, HTTP/1.1, 304, 0.001281
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000560
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/css/web2py.css, HTTP/1.1, 304, 0.001844
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000505
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.007086
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001041
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000887
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001346
127.0.0.1, 2013-10-06 21:17:19, GET, /swaraa/static/js/share.js, HTTP/1.1, 304, 0.000378
